day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),demand_chips(BBQ),description_chips(BBQ),lead_time_chips(BBQ),profit_chips(BBQ),holding_cost_chips(BBQ),news
1,198,"Potato Chips (Regular), 10oz bag",1,2,1,135,"Potato Chips (BBQ), 20oz bag",1,3,2,
2,205,"Potato Chips (Regular), 10oz bag",1,2,1,130,"Potato Chips (BBQ), 20oz bag",1,3,2,Hit Reality Show to Air Finale The Day After Tomorrow: Watch Parties Surge Nationwide
3,315,"Potato Chips (Regular), 10oz bag",1,2,1,217,"Potato Chips (BBQ), 20oz bag",1,3,2,
4,299,"Potato Chips (Regular), 10oz bag",1,2,1,216,"Potato Chips (BBQ), 20oz bag",1,3,2,
5,198,"Potato Chips (Regular), 10oz bag",1,2,1,180,"Potato Chips (BBQ), 20oz bag",1,3,2,
6,199,"Potato Chips (Regular), 10oz bag",1,2,1,131,"Potato Chips (BBQ), 20oz bag",1,3,2,
7,197,"Potato Chips (Regular), 10oz bag",1,2,1,158,"Potato Chips (BBQ), 20oz bag",1,3,2,
8,195,"Potato Chips (Regular), 10oz bag",1,2,1,179,"Potato Chips (BBQ), 20oz bag",1,3,2,
9,200,"Potato Chips (Regular), 10oz bag",1,2,1,134,"Potato Chips (BBQ), 20oz bag",1,3,2,
10,194,"Potato Chips (Regular), 10oz bag",1,2,1,186,"Potato Chips (BBQ), 20oz bag",1,3,2,
11,197,"Potato Chips (Regular), 10oz bag",1,2,1,167,"Potato Chips (BBQ), 20oz bag",1,3,2,
12,199,"Potato Chips (Regular), 10oz bag",1,2,1,145,"Potato Chips (BBQ), 20oz bag",1,3,2,
13,205,"Potato Chips (Regular), 10oz bag",1,2,1,185,"Potato Chips (BBQ), 20oz bag",1,3,2,
14,203,"Potato Chips (Regular), 10oz bag",1,2,1,145,"Potato Chips (BBQ), 20oz bag",1,3,2,
15,192,"Potato Chips (Regular), 10oz bag",1,2,1,170,"Potato Chips (BBQ), 20oz bag",1,3,2,
16,198,"Potato Chips (Regular), 10oz bag",1,2,1,116,"Potato Chips (BBQ), 20oz bag",1,3,2,
17,201,"Potato Chips (Regular), 10oz bag",1,2,1,149,"Potato Chips (BBQ), 20oz bag",1,3,2,
18,196,"Potato Chips (Regular), 10oz bag",1,2,1,130,"Potato Chips (BBQ), 20oz bag",1,3,2,Hit Reality Show to Air Finale The Day After Tomorrow: Watch Parties Surge Nationwide
19,296,"Potato Chips (Regular), 10oz bag",1,2,1,193,"Potato Chips (BBQ), 20oz bag",1,3,2,
20,308,"Potato Chips (Regular), 10oz bag",1,2,1,240,"Potato Chips (BBQ), 20oz bag",1,3,2,
