day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,108,"Potato Chips (Regular), 10oz bag",0,4,1,
2,74,"Potato Chips (Regular), 10oz bag",0,4,1,
3,119,"Potato Chips (Regular), 10oz bag",0,4,1,
4,124,"Potato Chips (Regular), 10oz bag",0,4,1,
5,51,"Potato Chips (Regular), 10oz bag",0,4,1,
6,67,"Potato Chips (Regular), 10oz bag",0,4,1,
7,103,"Potato Chips (Regular), 10oz bag",0,4,1,
8,92,"Potato Chips (Regular), 10oz bag",0,4,1,
9,100,"Potato Chips (Regular), 10oz bag",0,4,1,
10,79,"Potato Chips (Regular), 10oz bag",0,4,1,
11,122,"Potato Chips (Regular), 10oz bag",0,4,1,
12,119,"Potato Chips (Regular), 10oz bag",0,4,1,
13,102,"Potato Chips (Regular), 10oz bag",0,4,1,
14,128,"Potato Chips (Regular), 10oz bag",0,4,1,
15,112,"Potato Chips (Regular), 10oz bag",0,4,1,
16,100,"Potato Chips (Regular), 10oz bag",0,4,1,
17,100,"Potato Chips (Regular), 10oz bag",0,4,1,
18,100,"Potato Chips (Regular), 10oz bag",0,4,1,
19,100,"Potato Chips (Regular), 10oz bag",0,4,1,
20,100,"Potato Chips (Regular), 10oz bag",0,4,1,
21,100,"Potato Chips (Regular), 10oz bag",0,4,1,
22,100,"Potato Chips (Regular), 10oz bag",0,4,1,
23,100,"Potato Chips (Regular), 10oz bag",0,4,1,
24,100,"Potato Chips (Regular), 10oz bag",0,4,1,
25,100,"Potato Chips (Regular), 10oz bag",0,4,1,
26,100,"Potato Chips (Regular), 10oz bag",0,4,1,
27,100,"Potato Chips (Regular), 10oz bag",0,4,1,
28,100,"Potato Chips (Regular), 10oz bag",0,4,1,
29,100,"Potato Chips (Regular), 10oz bag",0,4,1,
30,100,"Potato Chips (Regular), 10oz bag",0,4,1,
31,100,"Potato Chips (Regular), 10oz bag",0,4,1,
32,100,"Potato Chips (Regular), 10oz bag",0,4,1,
33,100,"Potato Chips (Regular), 10oz bag",0,4,1,
34,100,"Potato Chips (Regular), 10oz bag",0,4,1,
35,100,"Potato Chips (Regular), 10oz bag",0,4,1,
36,100,"Potato Chips (Regular), 10oz bag",0,4,1,
37,100,"Potato Chips (Regular), 10oz bag",0,4,1,
38,100,"Potato Chips (Regular), 10oz bag",0,4,1,
39,100,"Potato Chips (Regular), 10oz bag",0,4,1,
40,100,"Potato Chips (Regular), 10oz bag",0,4,1,
41,100,"Potato Chips (Regular), 10oz bag",0,4,1,
42,100,"Potato Chips (Regular), 10oz bag",0,4,1,
43,100,"Potato Chips (Regular), 10oz bag",0,4,1,
44,100,"Potato Chips (Regular), 10oz bag",0,4,1,
45,100,"Potato Chips (Regular), 10oz bag",0,4,1,
46,100,"Potato Chips (Regular), 10oz bag",0,4,1,
47,100,"Potato Chips (Regular), 10oz bag",0,4,1,
48,100,"Potato Chips (Regular), 10oz bag",0,4,1,
49,100,"Potato Chips (Regular), 10oz bag",0,4,1,
50,100,"Potato Chips (Regular), 10oz bag",0,4,1,
