day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,108,"Potato Chips (Regular), 10oz bag",4,4,1,
2,74,"Potato Chips (Regular), 10oz bag",4,4,1,
3,119,"Potato Chips (Regular), 10oz bag",4,4,1,
4,124,"Potato Chips (Regular), 10oz bag",4,4,1,
5,51,"Potato Chips (Regular), 10oz bag",4,4,1,
6,67,"Potato Chips (Regular), 10oz bag",4,4,1,
7,103,"Potato Chips (Regular), 10oz bag",4,4,1,
8,92,"Potato Chips (Regular), 10oz bag",4,4,1,
9,100,"Potato Chips (Regular), 10oz bag",4,4,1,
10,79,"Potato Chips (Regular), 10oz bag",4,4,1,
11,122,"Potato Chips (Regular), 10oz bag",4,4,1,
12,119,"Potato Chips (Regular), 10oz bag",inf,4,1,
13,102,"Potato Chips (Regular), 10oz bag",4,4,1,
14,128,"Potato Chips (Regular), 10oz bag",4,4,1,
15,112,"Potato Chips (Regular), 10oz bag",4,4,1,
16,79,"Potato Chips (Regular), 10oz bag",4,4,1,
17,109,"Potato Chips (Regular), 10oz bag",4,4,1,
18,76,"Potato Chips (Regular), 10oz bag",4,4,1,
19,122,"Potato Chips (Regular), 10oz bag",4,4,1,
20,99,"Potato Chips (Regular), 10oz bag",4,4,1,
21,95,"Potato Chips (Regular), 10oz bag",4,4,1,
22,83,"Potato Chips (Regular), 10oz bag",4,4,1,
23,131,"Potato Chips (Regular), 10oz bag",4,4,1,
24,96,"Potato Chips (Regular), 10oz bag",inf,4,1,
25,89,"Potato Chips (Regular), 10oz bag",4,4,1,
26,91,"Potato Chips (Regular), 10oz bag",4,4,1,
27,113,"Potato Chips (Regular), 10oz bag",4,4,1,
28,109,"Potato Chips (Regular), 10oz bag",4,4,1,
29,110,"Potato Chips (Regular), 10oz bag",4,4,1,
30,111,"Potato Chips (Regular), 10oz bag",4,4,1,
31,154,"Potato Chips (Regular), 10oz bag",4,4,1,
32,90,"Potato Chips (Regular), 10oz bag",4,4,1,
33,87,"Potato Chips (Regular), 10oz bag",4,4,1,
34,80,"Potato Chips (Regular), 10oz bag",4,4,1,
35,115,"Potato Chips (Regular), 10oz bag",4,4,1,
36,128,"Potato Chips (Regular), 10oz bag",inf,4,1,
37,97,"Potato Chips (Regular), 10oz bag",4,4,1,
38,79,"Potato Chips (Regular), 10oz bag",4,4,1,
39,79,"Potato Chips (Regular), 10oz bag",4,4,1,
40,116,"Potato Chips (Regular), 10oz bag",4,4,1,
41,119,"Potato Chips (Regular), 10oz bag",4,4,1,
42,114,"Potato Chips (Regular), 10oz bag",4,4,1,
43,83,"Potato Chips (Regular), 10oz bag",4,4,1,
44,106,"Potato Chips (Regular), 10oz bag",4,4,1,
45,103,"Potato Chips (Regular), 10oz bag",4,4,1,
46,105,"Potato Chips (Regular), 10oz bag",4,4,1,
47,122,"Potato Chips (Regular), 10oz bag",4,4,1,
48,106,"Potato Chips (Regular), 10oz bag",4,4,1,
49,117,"Potato Chips (Regular), 10oz bag",4,4,1,
50,102,"Potato Chips (Regular), 10oz bag",4,4,1,
