week,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,109,"Potato Chips (Regular), 10oz bag",inf,2,1,
2,121,"Potato Chips (Regular), 10oz bag",1,2,1,
3,108,"Potato Chips (Regular), 10oz bag",1,2,1,
4,67,"Potato Chips (Regular), 10oz bag",inf,2,1,
5,123,"Potato Chips (Regular), 10oz bag",inf,2,1,
6,111,"Potato Chips (Regular), 10oz bag",2,2,1,
7,87,"Potato Chips (Regular), 10oz bag",2,2,1,
8,115,"Potato Chips (Regular), 10oz bag",1,2,1,
9,109,"Potato Chips (Regular), 10oz bag",0,2,1,
10,107,"Potato Chips (Regular), 10oz bag",inf,2,1,
11,101,"Potato Chips (Regular), 10oz bag",2,2,1,
12,114,"Potato Chips (Regular), 10oz bag",0,2,1,
13,82,"Potato Chips (Regular), 10oz bag",2,2,1,
14,96,"Potato Chips (Regular), 10oz bag",inf,2,1,
15,88,"Potato Chips (Regular), 10oz bag",2,2,1,
16,115,"Potato Chips (Regular), 10oz bag",inf,2,1,
17,101,"Potato Chips (Regular), 10oz bag",0,2,1,
18,93,"Potato Chips (Regular), 10oz bag",2,2,1,
19,80,"Potato Chips (Regular), 10oz bag",1,2,1,
20,94,"Potato Chips (Regular), 10oz bag",0,2,1,
